episode,title,question,option_a,option_b,option_c,option_d,correct
s1e1,פֶּרֶק 1: דְּמוּת מוּזָרָה,עַל אֵיזֶה נוֹשֵׂא רָצְתָה סְתָיו לְדַבֵּר בִּתְחִלַּת הַהֶסְכֵּת?,פּוֹלִיטִיקָה וְהִיסְטוֹרְיָה,אֵיךְ מְבַשְּׁלִים מְרַק תִּירָס,"כְּתָמִים (שׁוֹקוֹלָד, נְשִׁיקָה, צִיּוּר עַל הַקִּיר)",סוּגֵי דּוֹלְפִינִים בְּתָאִילַנְד,אַפְשָׁרוּת ג'
s1e1,פֶּרֶק 1: דְּמוּת מוּזָרָה,הֵיכָן מָצְאָה סְתָיו אֶת נָדָה בַּפַּעַם הָרִאשׁוֹנָה?,בְּתוֹךְ הַמִּקְלַחַת שֶׁלָּהּ,בְּתוֹךְ הַמְקָרֵר בַּמִּטְבָּח,בַּגִּנָּה לְיַד עֲצֵי הַבְּרוֹשׁ,יְשֵׁנָה מִתַּחַת לַשֻּׁלְחָן בַּסָּלוֹן,אַפְשָׁרוּת א'
s1e1,פֶּרֶק 1: דְּמוּת מוּזָרָה,לְאֵיזֶה שֵׁם שִׁנְּתָה סָבְתָא שֶׁל סְתָיו אֶת שְׁמָהּ בְּתָאִילַנְד?,שָׂרָה,נָדָה,אֵמִילְיָה,שַׁקְטִי,אַפְשָׁרוּת ד'
audience,שְׁאֵלוֹת מֵהַקָּהָל,אֵיזֶה מֵהַסִּדּוּרִים הַבָּאִים סָבְתָא לֹא מְבַקֶּשֶׁת?,לָלֶכֶת לְמִסְפָּרָה,לָלֶכֶת לַסִּפְרִיָּה,לָלֶכֶת לַבַּנְק,לִקְנוֹת מַצּוֹת,אַפְשָׁרוּת ד'
audience,שְׁאֵלוֹת מֵהַקָּהָל,אֵיזֶה מִסְפַּר נָאדָהּ רוֹצָהּ לְקַבֵּל בָּעִירִיָּה?,17,483,235,43,אַפְשָׁרוּת ג'
audience,שְׁאֵלוֹת מֵהַקָּהָל,לָמָּה נִצְבַּר לַסָּבְתָא חוֹב בָּעִירִיָּה?,כִּי סָבְתָא לֹא אוֹהֶבֶת לְשַׁלֵּם,כִּי הַשָּׁכֵן הַמַּסְבִּיר גָּנַב אֶת הַכֶּסֶף,כִּי נָאדָהּ עָשְׂתָה יְצִירַת אָמָּנוּת מֵהַמִּכְתָּבִים מֵהָעִירִיָּה,כִּי סְתָו הִתְעַצְּלָה לָלֶכֶת לְשַׁלֵּם,אַפְשָׁרוּת ג'
audience,שְׁאֵלוֹת מֵהַקָּהָל,אֵיזֶה מִסְפַּר מְבַקֶּשֶׁת הַפְּקִידָה בָּעִירִיָּה?,מִסְפַּר חָבֵר,מִסְפַּר טֵלֵפוֹן,מִסְפַּר מוֹעֲדוֹן,מִסְפַּר מִסְלָקָה,אַפְשָׁרוּת ד'
audience,שְׁאֵלוֹת מֵהַקָּהָל,מָה מֵהַהַצָּעוֹת הַבָּאוֹת נָאדָהּ לֹא מַצִּיעָה לְרֹאשׁ הָעִיר?,שֶׁהָעִיר תִּשָּׁאֵר בְּדִיּוּק כְּמוֹ שֶׁהִיא,שֶׁהַכִּכָּרוֹת יִהְיוּ קָרוּסֵלוֹת,שֶׁהַמְּכוֹנִיּוֹת בַּכְּבִישׁ יִהְיוּ מְכוֹנִיּוֹת מִתְנַגְּשׁוֹת,שֶׁאֶפְשָׁר יִהְיֶה לַעֲשׂוֹת קָיָאקִים בַּמִּזְרָקוֹת,אַפְשָׁרוּת א'
audience,שְׁאֵלוֹת מֵהַקָּהָל,מַהִי הַתִּסְפֹּרֶת הַקְּבוּעָה שֶׁל סָבְתָא שָׂרָה?,רַק לְיַשֵּׁר קְצָווֹת,קָארֶה עִם פַּס וָרֹד בַּצַּד,קָארֶה עִם פַּס כָּחֹל בַּצַּד,תִּסְפֹּרֶת רֵיְצ'ל מֵחֲבֵרִים,אַפְשָׁרוּת ג'
audience,שְׁאֵלוֹת מֵהַקָּהָל,מָה נָאדָהּ עוֹשָׂה לַסַּפָּר?,קָרַחַת,קָארֶה,פַּס וָרֹד בִּזְקָנוֹ הַלָּבָן,שָׂפָם עֲנָק,אַפְשָׁרוּת ד'
audience,שְׁאֵלוֹת מֵהַקָּהָל,מָה קוֹרֶה כְּשֶׁסְּתָו וְנָאדָהּ מְנַסּוֹת לְהַגִּיעַ לַבַּנְק?,יֵשׁ לָהֶן פַּנְצ'ר בָּאוֹפַנַּיִם,הַבַּנְק סָגוּר,הֵן מַגִּיעוֹת לַסְּנִיף הַלֹּא נָכוֹן,יֵשׁ שׁוֹד בַּבַּנְק,אַפְשָׁרוּת ד'
audience,שְׁאֵלוֹת מֵהַקָּהָל,לְאֵיזוֹ דְּמוּת מְצֻיֶּרֶת יֵשׁ אוֹתָהּ מְדוֹבֶבֶת כְּמוֹ לַשּׁוֹטֶרֶת בְּסוֹף הַפֶּרֶק?,מָאשָׁה מִ״מָּאשָׁה וְהַדֹּב״,קִית' מֵ״חֲקִירוֹת חַיָּתִיּוֹת״,עַכָּבִישׁ רְפָאִים מִ״סְפַּיְדִּי״,דַּרְדָּסִית,אַפְשָׁרוּת ד'
